x, y
1.918616207989455, 0.0001471235030964502
3.289311999228996, 0.0002292291079361658
4.18704302527185, 0.00027355726732877886
4.240231043611574, 0.0004335828013604356
4.2976982980436595, 0.001120607710105707
4.394434131889831, 0.004058852934025763
4.6924873179003175, 0.011377667837219675
4.768876074326702, 0.039281537565942055
5.0248095300721225, 0.0736137981412186
5.352847486519789, 0.2739337437726232
6.051045639496078, 0.6634468465479407
6.558987198935043, 1.2615598588857246
7.674462322141906, 1.8314550608475386
7.674462322141906, 1.8314550608475386
8.216670397926299, 1.6327688399032434
8.843835741585348, 1.1350317004180404
9.515618082319962, 0.6205532851955932
9.846155815394015, 0.3632488180634238
10.51401029426086, 0.1687791750806773
11.447440941522302, 0.0841305451285583
13.103696055272177, 0.08218642942484752
14.883456699150384, 0.0669818349637059
16.436553360191713, 0.059563551538698266
17.977515061405157, 0.04867456049325948
19.38640021122611, 0.04913527796739579
20.31019316547016, 0.05414522069106575
21.46564212635618, 0.061906138437257535
23.295378224234984, 0.07804998203211752
24.49687728706973, 0.09208607897520642
25.778334064526366, 0.11523325220925151
27.063003406322125, 0.12532593611932452
28.845976614539467, 0.10811715500584713
30.61145640600388, 0.08116988223569599
32.733179464887165, 0.05037369537650578
34.2327342235483, 0.03609830483125613
36.82634282679558, 0.018633394676047552
38.97197941147829, 0.01059825249756276
41.13653498833939, 0.005769710112100791
43.69659237276989, 0.0027527442781085055
46.28056328299979, 0.001260952192113931
48.19132627706961, 0.0006851445833898817
48.98839862703031, 0.0004888252211037631
51.669459255146876, 0.0002794126323495902
55.179366502390835, 0.00015590371936203502
60.04140694255231, 0.00010672116673489145
66.37265846726547, 0.00008596674584651389
72.59645975409825, 0.00008151102435527268
78.05139400194156, 0.00006015209504522744
84.31411751359565, 0.00005856042772220527
86.08851719073293, 0.00006083008413103134
